视频内弹幕出现时间,弹幕类型,弹幕字号,弹幕颜色,弹幕发送时间,弹幕池类型,发送者UID的HASH,弹幕dmID,弹幕内容
26.294,普通弹幕,中,白,1531269419,0,522554c5,2907163663007744,新人补番
246.964,普通弹幕,中,白,1531269117,0,989510df,2907163661959168,新人
15.701,普通弹幕,中,白,1531269094,0,993b70a4,2907163660910592,来补番外
1260.387,普通弹幕,中,白,1531268826,0,941ae80a,2907163659862016,走好
947.427,普通弹幕,中,白,1531268496,0,941ae80a,2907163658813440,铁骨铮铮炮姐
1354.081,底部弹幕,中,红,1531267418,0,d4ea0242,2907163657764864,注意这是一个伏笔
82.101,底部弹幕,中,黄,1531265539,0,d4ea0242,2907163656716352,学院都市治安比洛圣都治安还要差
505.916,普通弹幕,中,白,1531261679,0,19ae8f80,2907163655667712,额，新人表示....
1310.666,普通弹幕,中,白,1531255532,0,348aa017,2907163655143424,男主打得过她
1430.877,普通弹幕,中,白,1531252356,0,3cbf0c9c,2907163654094848,刚才那是亲上去了吗
1412.657,普通弹幕,中,白,1531252322,0,3cbf0c9c,2907163652521984,那不是胖次
1406.084,普通弹幕,中,白,1531252286,0,3cbf0c9c,2907163651473408,大橘已定
1362.824,普通弹幕,中,白,1531252226,0,3cbf0c9c,2907163649376256,哪里像切嗣了
1248.764,普通弹幕,中,白,1531252089,0,3cbf0c9c,2907163648327680,一路走好
1236.385,普通弹幕,中,白,1531252067,0,3cbf0c9c,2907163647279104,是不是要开炮了
1058.382,普通弹幕,中,白,1531251871,0,3cbf0c9c,2907163646230528,粘花惹草。。。。。。。
960.082,普通弹幕,中,白,1531251759,0,3cbf0c9c,2907163644657664,伏笔
776.762,普通弹幕,中,白,1531251567,0,3cbf0c9c,2907163642560512,大橘已定
704.198,普通弹幕,中,白,1531251476,0,3cbf0c9c,2907163641511936,没有男主，这是百合番
689.658,普通弹幕,中,白,1531251442,0,3cbf0c9c,2907163640987648,真香
675.033,普通弹幕,中,白,1531251411,0,3cbf0c9c,2907163639939072,真不是
657.497,普通弹幕,中,白,1531251389,0,3cbf0c9c,2907163638890496,这说骨王的是哪儿来的
542.181,普通弹幕,中,白,1531251200,0,3cbf0c9c,2907163636793344,我的天
503.681,普通弹幕,中,白,1531251158,0,3cbf0c9c,2907163635744768,摄影师
440.541,普通弹幕,中,白,1531251075,0,3cbf0c9c,2907163634696192,硬币掉了
333.702,普通弹幕,中,白,1531250968,0,3cbf0c9c,2907163634171904,卓别林
1411.778,普通弹幕,中,白,1531246094,0,781e9da6,2907163627356160,看到了!黑子黑色胖次
1417.162,普通弹幕,中,粉,1531245990,0,ab34bdcb,2907163625259008,爹妈飞！
1390.069,普通弹幕,中,红,1531245933,0,ab34bdcb,2907163623161856,一脚一个一口一拳怪
1192.867,普通弹幕,中,白,1531245805,0,781e9da6,2907163620540416,打击感好强
729.608,普通弹幕,中,白,1531245742,0,db5cfa6c,2907163619491840,哔哩哔哩不就是男主，黑子是女主
685.069,普通弹幕,中,白,1531245680,0,db5cfa6c,2907163618443264,真香
461.437,普通弹幕,中,白,1531243248,0,93fb92ed,2907163615821824,暗示投币
1266.346,底部弹幕,中,黄,1531242360,0,6f0dc97,2907163612676096,生前是个体面人
940.319,普通弹幕,中,白,1531241977,0,4b3c4d00,2907163611627520,哈哈好可爱
542.931,底部弹幕,中,黄,1531241341,0,6f0dc97,2907163610578944,知道炮姐为什么要穿安全裤了吧
1400.553,普通弹幕,中,白,1531241136,0,58f5f2d2,2907163608481792,大橘已定
325.64,底部弹幕,中,黄,1531240983,0,6f0dc97,2907163606908928,WOC  卓别林
9.299,普通弹幕,中,白,1531240927,0,4b3c4d00,2907163605860352,新人新人
1335.42,普通弹幕,中,白,1531240638,0,9c40eb27,2907163604811776,说当麻掉线那个，超炮这部番本来就不是为当麻出的
479.166,普通弹幕,中,白,1531240176,0,58f5f2d2,2907163604287488,双手打字
1244.089,普通弹幕,中,白,1531239712,0,3cf82f51,2907163603238912,壮士走好
1243.689,普通弹幕,中,白,1531239691,0,3cf82f51,2907163602190336,zh
532.976,普通弹幕,中,白,1531239635,0,9c40eb27,2907163600617472,新人们，注意了，前方高能
204.539,普通弹幕,中,白,1531239099,0,9c40eb27,2907163597471744,说没有男主那个你过来
98.046,普通弹幕,中,白,1531238778,0,dc904e0a,2907163595898880,我黑美如画
92.219,普通弹幕,中,白,1531238737,0,dc904e0a,2907163594850304,我黑
423.238,普通弹幕,中,白,1531238302,0,631a0269,2907163593277440,1?
280.123,普通弹幕,中,白,1531237124,0,f13eb4ad,2907163589083136,回看一w遍
70.863,普通弹幕,中,白,1531236495,0,850c23a8,2907163587510272,光速打脸
456.628,普通弹幕,中,红,1531236250,0,bb983dcf,2907163586461696,想骗我们投币 门槛上漆都没干
644.745,普通弹幕,中,白,1531236230,0,277deb37,2907163585413120,VAN
247.558,普通弹幕,中,红,1531235936,0,bb983dcf,2907163584364544,新人新人请前辈赐教
241.339,普通弹幕,中,红,1531235892,0,bb983dcf,2907163583315968,新人闷的逼都比了
935.394,普通弹幕,中,白,1531235208,0,8b6b529a,2907163582267392,真香
20.046,普通弹幕,中,白,1531235141,0,db4bedf9,2907163581743104, 新人
710.722,普通弹幕,中,白,1531235126,0,c0cc5ae8,2907163580694528,来来来，史莱克七怪那个你等一下
219.348,普通弹幕,中,白,1531234477,0,5ff38c28,2907163576500224,电浆炮（番内名:超电磁炮）发射
507.944,普通弹幕,中,黄,1531234409,0,fab47707,2907163575451648,这对我承包了
15.598,普通弹幕,中,白,1531234206,0,8b6b529a,2907163573354496,活着不好吗
1321.069,普通弹幕,中,白,1531233889,0,baf60666,2907163571257344,小孩呢？
1479.99,普通弹幕,中,白,1531233846,0,e3f400e5,2907163570733056,谁说的，看见你了
1472.559,普通弹幕,中,白,1531233826,0,e3f400e5,2907163569684480,这人真美
1441.605,普通弹幕,中,白,1531233785,0,e3f400e5,2907163568635904,泪爷也可爱
1438.611,普通弹幕,中,白,1531233771,0,e3f400e5,2907163567587328,初春可爱
1419.954,普通弹幕,中,白,1531233718,0,e3f400e5,2907163566014464,你妹飞~
1366.402,普通弹幕,中,白,1531233642,0,e3f400e5,2907163563917312,伏笔哎
1326.231,普通弹幕,中,白,1531233595,0,e3f400e5,2907163562868736,唉，炮姐要是想的话可以直接打穿
1255.803,普通弹幕,中,白,1531233494,0,e3f400e5,2907163561820160,走好
943.773,普通弹幕,中,白,1531233447,0,baf60666,2907163560247296,真香
1138.269,普通弹幕,中,白,1531233394,0,e3f400e5,2907163558674432,呦，灵活的胖子
1116.922,普通弹幕,中,白,1531233349,0,e3f400e5,2907163557625856,哈哈哈哈
1066.12,普通弹幕,中,白,1531233294,0,e3f400e5,2907163557101568,高能
1055.352,普通弹幕,中,白,1531233271,0,e3f400e5,2907163556052992,哈哈哈哈家啊
1034.832,普通弹幕,中,白,1531233246,0,e3f400e5,2907163555004416,再来根大葱
1013.019,普通弹幕,中,白,1531233209,0,e3f400e5,2907163553955840,一农，红豆泥一农？
20.819,普通弹幕,中,白,1531233180,0,4d9eec29,2907163552907264,传说中的炮姐?
989.073,普通弹幕,中,白,1531233127,0,e3f400e5,2907163552382976,哈哈目不转睛
1139.336,普通弹幕,中,白,1531233083,0,c031ef6b,2907163551334400,蝎大哥
916.338,普通弹幕,中,白,1531233039,0,e3f400e5,2907163549237248,确定过眼神，是喜欢的呱太
892.551,普通弹幕,中,白,1531232988,0,e3f400e5,2907163548712960,大姨妈四
798.962,普通弹幕,中,白,1531232875,0,e3f400e5,2907163546615808,后方画师不走心呐！那男的长的也太随心所欲了。。
765.921,普通弹幕,中,白,1531232789,0,e3f400e5,2907163545567232,完全把我初春当火柴人看那！
752.754,普通弹幕,中,白,1531232749,0,e3f400e5,2907163545042944,高能
1266.762,普通弹幕,中,白,1531232728,0,5682da53,2907163543470080,壮士，一路保重！
703.694,普通弹幕,中,白,1531232682,0,e3f400e5,2907163542945792,呆胶布
669.997,普通弹幕,中,白,1531232623,0,e3f400e5,2907163540848640,勒为咯    发无
641.639,普通弹幕,中,白,1531232567,0,e3f400e5,2907163539800064,我以迷上了门口的老头
585.041,普通弹幕,中,白,1531232401,0,e3f400e5,2907163534032896,初春我的，不服憋着
572.502,普通弹幕,中,白,1531232364,0,e3f400e5,2907163532984320,请务必让我
521.157,普通弹幕,中,白,1531232260,0,e3f400e5,2907163528265728,呀！左右声道唉！
80.283,普通弹幕,中,白,1531232259,0,710ced5f,2907163527217152,新人补番ɿ(｡･ɜ･)ɾ
483.25,普通弹幕,中,白,1531232201,0,e3f400e5,2907162962558976,道具师来来来我给你加个红buff
469.898,普通弹幕,中,白,1531232166,0,e3f400e5,2907162961510400,前方高能
406.509,普通弹幕,中,白,1531232006,0,e3f400e5,2907162959413248,前方高能
320.881,普通弹幕,中,白,1531231868,0,e3f400e5,2907162956791808,是安全裤啦！
1470.751,底部弹幕,中,黄,1531231859,0,b13f7a3,2907162955743232,橘势已定
159.247,普通弹幕,中,白,1531231803,0,c031ef6b,2907162953646080,黑琴党
282.352,普通弹幕,中,白,1531231800,0,e3f400e5,2907162952597504,万恶的。。。安全裤
274.906,普通弹幕,中,白,1531231768,0,e3f400e5,2907162951548928,前方高能
258.709,普通弹幕,中,白,1531231746,0,e3f400e5,2907162950500352,新人建议先看魔禁
508.176,普通弹幕,中,白,1531231711,0,1e29e608,2907162949451776,你们挡着我看胸了
136.385,普通弹幕,中,白,1531231550,0,e3f400e5,2907162947354624,哦内萨玛
99.407,普通弹幕,中,白,1531231487,0,e3f400e5,2907162945257472,一代一代一代一代。。。
69.425,普通弹幕,中,白,1531231444,0,e3f400e5,2907162943160320,duang
49.89,普通弹幕,中,白,1531231421,0,e3f400e5,2907162942636032,前方光速打脸
38.367,普通弹幕,中,白,1531231391,0,e3f400e5,2907162941063168,神tm夹击没头啊哈哈哈！
829.78,普通弹幕,中,白,1531231156,0,b13f7a3,2907162937917440,海澜之家
1316.691,普通弹幕,中,白,1531231080,0,76130311,2907162936868864,这车没炸已经算好的了
1270.249,普通弹幕,中,黄,1531230846,0,7be5f0d3,2907162936344576,一路走好
1268.41,普通弹幕,中,黄,1531230839,0,7be5f0d3,2907162935296000,回来送人头
1070.071,普通弹幕,中,红,1531230707,0,7be5f0d3,2907162934247424,要看当麻去魔禁
1393.925,普通弹幕,中,白,1531230562,0,c6ebdc66,2907162933198848,都很帅都很帅
271.571,普通弹幕,中,白,1531230530,0,b13f7a3,2907162932150272,黑子四十五度倾斜
1197.777,普通弹幕,中,白,1531230115,0,c6ebdc66,2907162931625984,好厉害
1187.255,普通弹幕,中,白,1531230104,0,c6ebdc66,2907162930577408,哇塞
1174.052,普通弹幕,中,白,1531230091,0,c6ebdc66,2907162929528832,哇塞，黑子片场
1141.714,普通弹幕,中,白,1531230059,0,c6ebdc66,2907162928480320,黑子好帅
1124.881,普通弹幕,中,白,1531230042,0,c6ebdc66,2907162927431680,夹击妹抖~9
1114.792,普通弹幕,中,白,1531230032,0,c6ebdc66,2907162926907392,夹击妹抖~8
1089.972,普通弹幕,中,白,1531230007,0,c6ebdc66,2907162925858816,夹击妹抖~7
719.703,普通弹幕,中,白,1531229637,0,c6ebdc66,2907162924810240,夹击妹抖……6
671.314,普通弹幕,中,白,1531229588,0,c6ebdc66,2907162923761664,夹击妹抖~5
454.314,普通弹幕,中,白,1531229564,0,9c85dd50,2907162922713088,快投币
603.144,普通弹幕,中,白,1531229520,0,c6ebdc66,2907162922188800,这句话莫名喜感
572.362,普通弹幕,中,白,1531229489,0,c6ebdc66,2907162921140224,好可爱啊
194.097,普通弹幕,中,红,1531229415,0,33d2f480,2907162919043072,君指先跃动の光は、私の一生不变の信仰に、唯私の超電磁炮永世生き!
1466.561,普通弹幕,中,白,1531229348,0,5e738738,2907162916945920,男主什么的不存在的
318.749,普通弹幕,中,白,1531229236,0,c6ebdc66,2907162915897344,萌萌哒
176.199,普通弹幕,中,蓝,1531229009,0,33d2f480,2907162913800256,君指先跃动の光は、私の一生不变の信仰に、唯私の超电磁炮永世生き!
168.497,普通弹幕,中,白,1531228689,0,33d2f480,2907162912227328,君指先跃动の光は，
20.619,普通弹幕,中,白,1531228618,0,fd056067,2907162908033024,新人补番，多多指教
927.069,普通弹幕,中,白,1531228376,0,1198e0b,2907162907508736,waduhek
558.154,普通弹幕,中,白,1531228067,0,e26946ff,2907162906460160,亚梦的声优阿阿阿阿阿阿
16.36,普通弹幕,中,白,1531227910,0,14bc5ef8,2907162905411584,20180710，再看一遍
904.54,普通弹幕,中,白,1531227672,0,fb9cd560,2907162904363008,wadu hek！
871.794,普通弹幕,中,白,1531227628,0,fb9cd560,2907162903314432,wadu hek！
938.914,普通弹幕,中,白,1531226493,0,bcca018,2907162899644416,233333
14.869,普通弹幕,中,白,1531225930,0,643f3ecb,2907162899120128,重温一下
277.557,普通弹幕,中,红,1531225465,0,6e38821e,2907162897022976,邪王真眼是最强的！！
605.28,普通弹幕,中,白,1531225308,0,d83542c5,2907162895974400,黑色？
530.766,普通弹幕,中,白,1531225233,0,d83542c5,2907162895450112,乌鲁塞
21.819,普通弹幕,中,白,1531223501,0,5e738738,2907162892828672,活着不好吗？
706.43,普通弹幕,中,白,1531223413,0,1e96fe82,2907162891780096,这是呆唯声优 丰崎爱生
1289.101,普通弹幕,中,白,1531223246,0,f1fdbc99,2907162890731520,安全裤，差评
696.755,底部弹幕,中,红,1531222744,0,d044dbde,2907162889682944,当妈也会出现，但是他并没有太多戏份
696.524,底部弹幕,中,红,1531222716,0,d044dbde,2907162888634368,但主角毕竟是炮姐等一众女孩子
696.524,底部弹幕,中,红,1531222695,0,d044dbde,2907162887585792,可以当成魔禁的番外来看
44.48,普通弹幕,中,白,1531222693,0,5ea3d390,2907162886537216,风都
696.187,底部弹幕,中,红,1531222617,0,d044dbde,2907162884964352,作者也没料到炮姐能比身为主角的茵蒂克丝还火
696.187,底部弹幕,中,红,1531222589,0,d044dbde,2907162883915776,因为在魔禁里炮姐太火了
1265.609,底部弹幕,中,红,1531222319,0,7ac628bc,2907162881818624,骚年，现在跑已经来不及了
1248.394,底部弹幕,中,红,1531222287,0,7ac628bc,2907162880770048,走好不送
1217.542,底部弹幕,中,红,1531222256,0,7ac628bc,2907162879721472,无限闪现可还行？、
1091.67,底部弹幕,中,红,1531222131,0,7ac628bc,2907162878672896,一发入魂
58.608,普通弹幕,中,白,1531221994,0,f6e0ee60,2907162877100032,厨师
905.869,底部弹幕,中,红,1531221944,0,7ac628bc,2907162875002880,解锁·真炮姐
767.973,底部弹幕,中,红,1531221793,0,7ac628bc,2907162873430016,写作黑子，读作hentai
767.973,底部弹幕,中,红,1531221774,0,7ac628bc,2907162872381440,稳如狗
608.034,底部弹幕,中,红,1531221589,0,7ac628bc,2907162871857152,当妈：不巧，在下也是
483.46,底部弹幕,中,红,1531221429,0,7ac628bc,2907162869760000,今晚吃啥
646.325,普通弹幕,中,白,1531220835,0,6e255b23,2907162866614272,拉美西斯二世
751.481,普通弹幕,中,红,1531220497,0,f1bdd30e,2907162865565696,危险的黑子
737.281,普通弹幕,中,红,1531220473,0,f1bdd30e,2907162865041408,危险的黑子哈哈哈哈
18.761,底部弹幕,中,红,1531219983,0,7ac628bc,2907162863992832,活着不好吗？
1316.019,底部弹幕,中,红,1531219376,0,748451d4,2907162862944256,安全气囊好评
1139.219,底部弹幕,中,红,1531219180,0,748451d4,2907162861895680,高文晋你怎么了
1122.598,普通弹幕,中,红,1531218689,0,2208703,2907162854031360,这个不是蝎吗
248.183,普通弹幕,中,白,1531218478,0,65300268,2907162852458496,新人懵逼
139.728,普通弹幕,中,白,1531218451,0,c031ef6b,2907162851409920,黑琴党一脸满足
526.696,普通弹幕,中,白,1531217791,0,7abbd2b8,2907162849312768,原来梗是这里来的
516.163,普通弹幕,中,白,1531217780,0,7abbd2b8,2907162848264192,橘里橘气
1281.743,普通弹幕,中,红,1531217232,0,f30bb947,2907162847215616,明示投币
386.207,底部弹幕,中,白,1531217015,0,bc7e86ed,2907162846167040,一血光子
1362.532,普通弹幕,中,白,1531216132,0,1c902646,2907162844594176,8848
543.634,底部弹幕,中,黄,1531215960,0,e4e2f151,2907162842497024,泪爷 海澜之家
541.754,底部弹幕,中,黄,1531215945,0,e4e2f151,2907162841448448,LV6
1122.492,普通弹幕,中,蓝,1531215887,0,1c902646,2907162840924160,末日行动二：波格单危机（3/2—4）
462.654,底部弹幕,中,黄,1531215851,0,e4e2f151,2907162839875584,前方高能
1114.453,普通弹幕,中,白,1531215822,0,1c902646,2907162838827008,抢银行请先玩gta全系列
333.448,普通弹幕,中,白,1531215686,0,f61a0516,2907162837778432,百合番还有男主？
270.753,底部弹幕,中,黄,1531215656,0,e4e2f151,2907162836729856,前方日常
1404.323,普通弹幕,中,蓝,1531215576,0,e849c3ba,2907162835681280,大橘已定
1364.683,普通弹幕,中,蓝,1531215531,0,e849c3ba,2907162834632704,这肯定是个伏笔，据我多年做语文课外阅读的经验。
798.435,普通弹幕,中,黄,1531215492,0,6059edcf,2907162834108416,大橘为重
98.51,底部弹幕,中,棕,1531215469,0,e4e2f151,2907162833059840,夹击妹抖迪斯诺
1236.563,普通弹幕,中,黄,1531215376,0,e849c3ba,2907162830962688,前方高能走好不送
302.122,普通弹幕,中,白,1531215374,0,3574b8ee,2907162829914112,真香
773.374,普通弹幕,中,白,1531215239,0,8817ff5e,2907162829389824,大橘已定
932.824,普通弹幕,中,黄,1531215054,0,e849c3ba,2907162828341248,真香！
858.025,普通弹幕,中,黄,1531214976,0,e849c3ba,2907162827292672,好听吗？好听就是好锅
812.744,普通弹幕,中,黄,1531214910,0,e849c3ba,2907162826244096,2333333
800.105,普通弹幕,中,蓝,1531214883,0,e849c3ba,2907162825195520,橘势稳定啊
771.144,普通弹幕,中,黄,1531214845,0,e849c3ba,2907162824671232,橘里橘气
1302.223,底部弹幕,中,红,1531214737,0,74adc69d,2907162823622656,官方投币
1245.283,底部弹幕,中,红,1531214673,0,74adc69d,2907162822574080,壮士走好
1193.803,底部弹幕,中,红,1531214615,0,74adc69d,2907162820476928,哇塞闪现
509.366,普通弹幕,中,白,1531214408,0,e849c3ba,2907162818904064,大橘已定
1060.43,普通弹幕,中,黄,1531214241,0,438bc0af,2907162816806912,可带劲了。
1060.077,底部弹幕,中,蓝,1531213997,0,f74dfa59,2907162814709760,真是罪孽深重到女人
913.471,普通弹幕,中,黄,1531213955,0,438bc0af,2907162813661184,突然橘里橘气
623.252,普通弹幕,中,白,1531213949,0,8817ff5e,2907162812612608,男主神之右手
871.231,普通弹幕,中,黄,1531213898,0,438bc0af,2907162812088320,恐怖游戏区的我突然想起被scoot支配的恐惧
543.486,普通弹幕,中,白,1531213861,0,8817ff5e,2907162811039744,泪爷上线
831.633,普通弹幕,中,黄,1531213800,0,438bc0af,2907162809991168,智障的过来
478.225,普通弹幕,中,白,1531213770,0,8817ff5e,2907162808942592,摄影师……
238.392,普通弹幕,中,白,1531213764,0,a140d85a,2907162807894016,新人＋1
817.993,普通弹幕,中,黄,1531213748,0,438bc0af,2907162805796864,恐怖游戏区的我居然被吓到发抖
592.992,底部弹幕,中,红,1531213748,0,74adc69d,2907162806845440,求大腿视角
815.833,普通弹幕,中,白,1531213715,0,438bc0af,2907162804748288,不着不是我的专业
239.936,普通弹幕,中,白,1531211457,0,438bc0af,2907162801602560,新人发抖【是真的在发抖】
391.235,普通弹幕,中,白,1531211354,0,a530daa1,2907162801078272,光子。。
145.153,普通弹幕,中,白,1531211259,0,a8a860f4,2907162800029696,君指先跃动の光は、私の一生不変の信仰に、唯私の超电電磁炮永世生き!
25.6,普通弹幕,中,白,1531210955,0,a530daa1,2907162797932544,壮士一去不复返
970.557,底部弹幕,中,红,1531210888,0,226888a2,2907162797408256,真香
1488.754,普通弹幕,中,绿,1531210201,0,dee5d732,2907162795835392,，，，，
8.957,普通弹幕,中,白,1531209772,0,54426508,2907162793738240,慕名而来
1209.736,普通弹幕,中,白,1531209466,0,96357c2f,2907162792689664,容嬷嬷
574.802,普通弹幕,中,白,1531209374,0,a8c22630,2907162791641088,这是什么鬼番
1392.636,普通弹幕,中,白,1531209014,0,a18c2cd5,2907162790592512,后宫
1049.068,普通弹幕,中,黄,1531209008,0,8bffd0fb,2907162789543936,超炮里要看当麻，魔禁里要看炮姐，不可楞
1242.023,普通弹幕,中,白,1531208860,0,a18c2cd5,2907162789019648,壮士走好
1128.615,普通弹幕,中,白,1531208740,0,a18c2cd5,2907162787971072,壮士 走好
1117.351,普通弹幕,中,白,1531208724,0,a18c2cd5,2907162786922496,为什么要炸门
1078.802,普通弹幕,中,白,1531208674,0,a18c2cd5,2907162786398208,一口
1060.37,普通弹幕,中,白,1531208653,0,a18c2cd5,2907162785349632,妙啊
67.677,普通弹幕,中,白,1531208621,0,f05af2c0,2907162784301056,挖掘机！！！！！！
27.281,普通弹幕,中,白,1531208595,0,f05af2c0,2907162783776768,活着不好吗........
1015.826,普通弹幕,中,白,1531208575,0,a18c2cd5,2907162781679616,开心得像个孩子
1002.685,普通弹幕,中,白,1531208555,0,a18c2cd5,2907162780631040,被击倒2333
6.979,普通弹幕,中,白,1531208517,0,8cf05e0f,2907162779582464,再看一遍
939.367,普通弹幕,中,白,1531208481,0,a18c2cd5,2907162778533888,真香
925.629,普通弹幕,中,白,1531208462,0,a18c2cd5,2907162778009600,真香
832.786,普通弹幕,中,白,1531208367,0,a18c2cd5,2907162776961024,真香
802.919,普通弹幕,中,白,1531208334,0,a18c2cd5,2907162775912448,！
496.547,普通弹幕,中,白,1531208321,0,941ae80a,2907162774863872,高能
771.09,普通弹幕,中,白,1531208293,0,a18c2cd5,2907162773815296,这是什么鬼番×3
505.298,普通弹幕,中,白,1531208009,0,a18c2cd5,2907162772242432,这是什么鬼番
123.136,普通弹幕,中,白,1531207762,0,9aaa6c44,2907162771193856,贝蒂？！
1120.846,普通弹幕,中,白,1531207557,0,28acc944,2907162769620992,哥哥你谁
227.327,底部弹幕,中,蓝,1531207519,0,3795e0,2907162768572416,你是电，你是光，你是唯一的伩仰
227.327,底部弹幕,中,灰,1531207513,0,3795e0,2907162767523840,你是电，你是光，你是唯一的伩仰
202.97,底部弹幕,中,浅绿,1531207456,0,3795e0,2907162766475264,你是电，你是光，你是唯一的伩仰
187.653,底部弹幕,中,橙,1531207433,0,3795e0,2907162765426688,你是电，你是光，你是唯一的伩仰
187.653,底部弹幕,中,粉,1531207427,0,3795e0,2907162764378112,你是电，你是光，你是唯一的伩仰
187.653,底部弹幕,中,灰,1531207418,0,3795e0,2907162763853824,你是电，你是光，你是唯一的伩仰
187.653,底部弹幕,中,绿,1531207413,0,3795e0,2907162762805248,你是电，你是光，你是唯一的伩仰
187.653,底部弹幕,中,蓝,1531207407,0,3795e0,2907162761756672,你是电，你是光，你是唯一的伩仰
187.653,底部弹幕,中,绿,1531207402,0,3795e0,2907162760708096,你是电，你是光，你是唯一的伩仰
175.036,底部弹幕,中,橙,1531207371,0,3795e0,2907162759659520,你是电，你是光，你是唯一的伩仰
175.036,底部弹幕,中,绿,1531207365,0,3795e0,2907162759135232,你是电，你是光，你是唯一的伩仰
175.036,底部弹幕,中,淡蓝,1531207359,0,3795e0,2907162758086656,你是电，你是光，你是唯一的伩仰
175.036,底部弹幕,中,香芋紫,1531207354,0,3795e0,2907162755989504,你是电，你是光，你是唯一的伩仰
169.402,底部弹幕,中,绿,1531207341,0,3795e0,2907162754940928,你是电，你是光，你是唯一的伩仰
169.402,底部弹幕,中,青,1531207334,0,3795e0,2907162753892352,你是电，你是光，你是唯一的伩仰
169.402,底部弹幕,中,粉,1531207327,0,3795e0,2907162752843776,你是电，你是光，你是唯一的伩仰
144.221,底部弹幕,中,绿,1531207294,0,3795e0,2907162751795200,你是电，你是光，你是唯一的伩仰
144.221,底部弹幕,中,黄,1531207288,0,3795e0,2907162750746624,你是电，你是光，你是唯一的伩仰
144.221,底部弹幕,中,白,1531207283,0,3795e0,2907162749698048,你是电，你是光，你是唯一的伩仰
486.696,普通弹幕,中,白,1531207238,0,85eed632,2907162748649472,前方高能
167.464,普通弹幕,中,蓝,1531207218,0,3795e0,2907162748125184,电·光·不·灭·伩·仰·长·存
161.67,普通弹幕,中,蓝,1531207212,0,3795e0,2907162747076608,电·光·不·灭·伩·仰·长·存
156.114,普通弹幕,中,绿,1531207207,0,3795e0,2907162746028032,电·光·不·灭·伩·仰·长·存
150.122,普通弹幕,中,绿,1531207201,0,3795e0,2907162744979456,电·光·不·灭·伩·仰·长·存
531.898,普通弹幕,中,白,1531207197,0,d48f4ce5,2907162743930880,我凸了
144.145,普通弹幕,中,蓝,1531207195,0,3795e0,2907162742882304,电·光·不·灭·伩·仰·长·存
138.575,普通弹幕,中,青,1531207189,0,3795e0,2907162742358016,电·光·不·灭·伩·仰·长·存
131.666,普通弹幕,中,绿,1531207182,0,3795e0,2907162741309440,电·光·不·灭·伩·仰·长·存
28.048,普通弹幕,中,红棕,1531207147,0,3795e0,2907162740260864,电·光·不·灭·伩·仰·长·存
229.114,普通弹幕,中,紫,1531207137,0,3795e0,2907162739212288,电·光·不·灭·伩·仰·长·存
223.166,普通弹幕,中,青,1531207131,0,3795e0,2907162738163712,电·光·不·灭·伩·仰·长·存
216.834,普通弹幕,中,绿,1531207125,0,3795e0,2907162737115136,电·光·不·灭·伩·仰·长·存
210.992,普通弹幕,中,红,1531207119,0,3795e0,2907162736066560,电·光·不·灭·伩·仰·长·存
204.941,普通弹幕,中,紫,1531207113,0,3795e0,2907162735017984,电·光·不·灭·伩·仰·长·存
198.816,普通弹幕,中,淡蓝,1531207107,0,3795e0,2907162734493696,电·光·不·灭·伩·仰·长·存
192.967,普通弹幕,中,品红,1531207101,0,3795e0,2907162732920832,电·光·不·灭·伩·仰·长·存
187.234,普通弹幕,中,红,1531207095,0,3795e0,2907162731872256,电·光·不·灭·伩·仰·长·存
181.605,普通弹幕,中,绿,1531207089,0,3795e0,2907162730823680,电·光·不·灭·伩·仰·长·存
176.015,普通弹幕,中,青,1531207084,0,3795e0,2907162729775104,电·光·不·灭·伩·仰·长·存
170.308,普通弹幕,中,黄,1531207078,0,3795e0,2907162727677952,电·光·不·灭·伩·仰·长·存
163.747,普通弹幕,中,白,1531207071,0,3795e0,2907162727153664,电·光·不·灭·伩·仰·长·存
10.659,普通弹幕,中,白,1531206931,0,54a2b177,2907162726105088,新人
61.015,普通弹幕,中,白,1531206851,0,85eed632,2907162725056512,前方打脸预警
135.442,普通弹幕,中,白,1531206687,0,638a501e,2907162722959424,炮姐
1500.603,普通弹幕,中,粉,1531205984,0,d8b24234,2907162720337920,彩蛋在哪
1431.574,普通弹幕,中,粉,1531205957,0,d8b24234,2907162719289344,橘里橘气
1394.907,普通弹幕,中,粉,1531205920,0,d8b24234,2907162718765056,你更帅气
1324.209,普通弹幕,中,灰绿,1531205850,0,d8b24234,2907162717716480,走好不送
1271.505,普通弹幕,中,灰绿,1531205797,0,d8b24234,2907162716667904,驯服
1245.096,普通弹幕,中,灰绿,1531205770,0,d8b24234,2907162715619328,快跑小伙子
1215.378,普通弹幕,中,灰绿,1531205740,0,d8b24234,2907162714570752,这个针我以为是扎人的
1137.008,普通弹幕,中,灰绿,1531205662,0,d8b24234,2907162713522176,快跑\
1084.332,普通弹幕,中,灰绿,1531205609,0,d8b24234,2907162712997888,一口吞
984.464,普通弹幕,中,灰绿,1531205509,0,d8b24234,2907162711949312,焦急的等待呱太
323.006,普通弹幕,中,灰绿,1531204708,0,d8b24234,2907162707755008,我才喝一口
781.607,普通弹幕,中,白,1531204631,0,b873819d,2907162705657856,はい！
725.287,普通弹幕,中,白,1531204543,0,b873819d,2907162704084992,だいじょぶ
